Age,Gender,Category,Purchase Amount (USD),Location,Season,Review Rating,Previous Purchases,Frequency of Purchases
53,Male,Clothing,94,Wyoming,Spring,3.8,48,Every 3 Months
55,Male,Footwear,86,Virginia,Spring,3.4,12,Annually
50,Male,Footwear,32,South Dakota,Summer,4.6,29,Fortnightly
50,Male,Clothing,45,Kentucky,Fall,4.8,27,Bi-Weekly
38,Male,Outerwear,76,Wyoming,Fall,4.3,44,Annually
64,Male,Accessories,84,West Virginia,Summer,4.0,32,Annually
19,Male,Clothing,72,Virginia,Winter,4.2,11,Fortnightly
40,Male,Accessories,40,Washington,Spring,4.8,44,Fortnightly
57,Male,Clothing,89,Louisiana,Fall,3.1,46,Weekly
44,Male,Clothing,86,Nevada,Spring,3.1,50,Annually
49,Male,Clothing,54,California,Winter,3.6,45,Every 3 Months
43,Male,Clothing,36,Mississippi,Spring,3.9,48,Every 3 Months
24,Male,Clothing,89,Mississippi,Winter,4.8,26,Weekly
20,Male,Accessories,32,California,Spring,4.7,21,Fortnightly
24,Male,Clothing,67,Pennsylvania,Summer,4.2,49,Bi-Weekly
44,Male,Accessories,39,Kentucky,Fall,3.7,13,Fortnightly
28,Male,Clothing,29,Maine,Summer,3.9,46,Weekly
30,Male,Accessories,58,New Mexico,Fall,4.7,42,Weekly
52,Male,Clothing,65,Montana,Winter,2.5,25,Annually
43,Male,Accessories,94,Texas,Fall,4.9,25,Monthly
43,Male,Footwear,81,Kansas,Fall,4.1,12,Quarterly
39,Male,Clothing,86,South Carolina,Winter,3.3,4,Quarterly
68,Male,Footwear,43,Colorado,Spring,4.7,38,Weekly
68,Male,Clothing,29,Georgia,Winter,4.4,42,Weekly
49,Male,Outerwear,95,Florida,Fall,3.8,30,Annually
63,Male,Clothing,28,North Carolina,Fall,3.9,50,Weekly
56,Male,Accessories,46,Virginia,Fall,4.9,45,Weekly
37,Male,Outerwear,58,Nebraska,Fall,3.1,33,Fortnightly
30,Male,Outerwear,48,Missouri,Fall,2.7,25,Quarterly
19,Male,Footwear,43,New Jersey,Fall,3.2,25,Monthly
24,Male,Accessories,95,Missouri,Fall,4.5,44,Quarterly
52,Male,Clothing,30,Colorado,Fall,4.0,21,Fortnightly
63,Male,Footwear,64,Idaho,Summer,3.5,31,Fortnightly
37,Male,Accessories,90,Wyoming,Fall,2.6,47,Annually
38,Male,Clothing,76,Delaware,Summer,3.2,14,Monthly
35,Male,Footwear,96,California,Fall,4.9,17,Every 3 Months
28,Male,Accessories,47,North Dakota,Fall,4.5,3,Annually
30,Male,Clothing,85,South Carolina,Summer,4.3,42,Annually
69,Male,Clothing,55,North Carolina,Winter,3.2,22,Annually
41,Male,Clothing,98,Oklahoma,Fall,3.6,21,Quarterly
63,Male,Clothing,77,Maine,Spring,4.3,21,Quarterly
35,Male,Clothing,26,Missouri,Fall,4.0,40,Annually
36,Male,Accessories,68,Vermont,Fall,3.0,1,Fortnightly
25,Male,Clothing,73,Connecticut,Fall,4.1,50,Monthly
58,Male,Accessories,27,New Hampshire,Fall,3.8,39,Every 3 Months
27,Male,Accessories,23,Texas,Summer,4.6,34,Monthly
65,Male,Accessories,49,North Dakota,Fall,3.0,29,Fortnightly
54,Male,Accessories,74,California,Summer,3.0,31,Bi-Weekly
54,Male,Clothing,67,Virginia,Summer,3.4,8,Weekly
59,Male,Accessories,65,Delaware,Spring,2.6,5,Fortnightly
42,Male,Accessories,60,Kentucky,Winter,2.8,7,Monthly
46,Male,Footwear,31,Delaware,Fall,4.0,30,Monthly
33,Male,Accessories,27,Arkansas,Fall,4.0,14,Every 3 Months
34,Male,Footwear,80,Louisiana,Summer,3.0,5,Fortnightly
27,Male,Outerwear,30,Nevada,Summer,3.3,3,Every 3 Months
52,Male,Clothing,25,Wyoming,Fall,2.6,46,Bi-Weekly
29,Male,Clothing,35,Virginia,Summer,3.6,4,Weekly
54,Male,Accessories,67,Nebraska,Summer,3.9,42,Bi-Weekly
25,Male,Accessories,46,Hawaii,Fall,3.4,30,Annually
41,Male,Footwear,35,Vermont,Winter,3.5,37,Annually
53,Male,Outerwear,86,Oklahoma,Fall,2.8,2,Annually
53,Male,Accessories,81,New Hampshire,Spring,2.7,30,Quarterly
21,Male,Clothing,42,Kansas,Fall,3.7,47,Monthly
61,Male,Clothing,43,Idaho,Fall,4.3,21,Quarterly
64,Male,Footwear,31,Illinois,Fall,4.9,9,Fortnightly
51,Male,Footwear,81,South Dakota,Fall,3.3,12,Fortnightly
32,Male,Clothing,61,Massachusetts,Summer,4.7,4,Weekly
38,Male,Accessories,96,Alabama,Summer,2.8,10,Annually
58,Male,Clothing,29,Ohio,Spring,3.6,26,Weekly
32,Male,Footwear,33,Hawaii,Spring,3.0,40,Fortnightly
46,Male,Clothing,32,Wisconsin,Summer,4.5,34,Fortnightly
39,Male,Accessories,56,Minnesota,Summer,2.9,31,Annually
19,Male,Footwear,94,Georgia,Spring,3.3,1,Bi-Weekly
50,Male,Clothing,53,Arkansas,Spring,3.1,5,Bi-Weekly
36,Male,Clothing,82,West Virginia,Fall,4.4,4,Weekly
65,Male,Outerwear,70,Indiana,Fall,3.0,48,Quarterly
64,Male,Accessories,76,Utah,Fall,3.9,29,Every 3 Months
46,Male,Footwear,29,Nebraska,Summer,2.9,12,Bi-Weekly
36,Male,Accessories,100,North Dakota,Fall,3.0,29,Annually
51,Male,Accessories,94,Missouri,Spring,3.1,15,Quarterly
51,Male,Outerwear,25,New York,Fall,4.3,34,Monthly
38,Male,Footwear,88,Washington,Summer,3.9,41,Fortnightly
59,Male,Accessories,78,South Carolina,Fall,3.2,41,Monthly
57,Male,Accessories,45,Utah,Winter,4.8,39,Fortnightly
54,Male,Accessories,73,Idaho,Summer,3.8,32,Weekly
25,Male,Clothing,61,Pennsylvania,Summer,3.3,29,Monthly
69,Male,Clothing,22,Missouri,Fall,4.3,15,Annually
57,Male,Accessories,38,Nebraska,Spring,2.7,33,Annually
70,Male,Accessories,38,Indiana,Fall,3.2,18,Weekly
24,Male,Footwear,100,Arizona,Fall,4.0,35,Bi-Weekly
67,Male,Clothing,64,Hawaii,Winter,3.0,25,Weekly
24,Male,Clothing,55,Wisconsin,Summer,4.2,6,Fortnightly
62,Male,Accessories,91,Rhode Island,Summer,2.9,17,Bi-Weekly
57,Male,Clothing,38,Wisconsin,Spring,4.1,17,Monthly
55,Male,Footwear,97,Minnesota,Winter,3.2,44,Every 3 Months
45,Male,Outerwear,22,Vermont,Fall,3.0,6,Fortnightly
69,Male,Clothing,92,South Dakota,Fall,4.2,45,Fortnightly
67,Male,Accessories,84,Virginia,Fall,4.2,7,Annually
30,Male,Accessories,93,Nevada,Fall,4.4,11,Every 3 Months
24,Male,Outerwear,50,Hawaii,Summer,4.2,41,Every 3 Months
62,Male,Accessories,64,New Jersey,Spring,2.8,24,Bi-Weekly
43,Male,Clothing,61,Massachusetts,Spring,3.7,21,Weekly
35,Male,Accessories,48,Oklahoma,Winter,3.5,24,Annually
28,Male,Clothing,45,California,Spring,2.9,8,Quarterly
32,Male,Accessories,88,Nevada,Spring,3.0,12,Fortnightly
39,Male,Footwear,57,Arizona,Spring,3.7,48,Fortnightly
28,Male,Accessories,68,North Carolina,Summer,4.4,6,Quarterly
47,Male,Accessories,94,New York,Spring,4.5,14,Fortnightly
20,Male,Clothing,41,Wyoming,Spring,4.8,34,Annually
63,Male,Clothing,83,South Dakota,Summer,2.9,12,Every 3 Months
25,Male,Outerwear,22,Arkansas,Spring,3.2,11,Annually
29,Male,Footwear,74,Texas,Spring,3.3,5,Monthly
50,Male,Clothing,90,Rhode Island,Winter,4.2,25,Fortnightly
18,Male,Clothing,79,New Hampshire,Spring,2.9,11,Annually
70,Male,Footwear,28,Ohio,Spring,4.6,27,Every 3 Months
66,Male,Accessories,88,Utah,Fall,4.1,43,Annually
28,Male,Clothing,26,Tennessee,Spring,3.1,18,Every 3 Months
54,Male,Accessories,27,Hawaii,Winter,4.2,32,Bi-Weekly
19,Male,Clothing,83,Arizona,Fall,4.5,27,Every 3 Months
20,Male,Accessories,39,South Dakota,Summer,3.7,24,Weekly
43,Male,Accessories,89,New Jersey,Winter,3.7,31,Quarterly
38,Male,Outerwear,68,North Dakota,Winter,3.4,39,Fortnightly
50,Male,Clothing,90,Iowa,Summer,3.0,36,Fortnightly
64,Male,Clothing,34,Ohio,Fall,4.2,5,Annually
49,Male,Clothing,51,Vermont,Summer,2.9,47,Bi-Weekly
47,Male,Clothing,45,Montana,Winter,3.5,29,Fortnightly
36,Male,Clothing,88,Delaware,Winter,4.1,43,Bi-Weekly
55,Male,Outerwear,85,New York,Summer,4.3,40,Every 3 Months
25,Male,Accessories,100,Kentucky,Winter,2.8,4,Monthly
53,Male,Accessories,42,Oregon,Spring,4.9,39,Weekly
49,Male,Footwear,53,Rhode Island,Summer,3.3,45,Fortnightly
35,Male,Accessories,86,Nevada,Spring,3.2,20,Bi-Weekly
29,Male,Clothing,66,Montana,Spring,4.4,14,Weekly
47,Male,Accessories,100,Pennsylvania,Winter,4.8,33,Weekly
53,Male,Accessories,47,Alaska,Fall,4.2,18,Annually
33,Male,Clothing,25,Mississippi,Fall,4.0,9,Weekly
21,Male,Accessories,51,Wyoming,Winter,2.5,34,Annually
32,Male,Clothing,41,Delaware,Summer,3.9,33,Fortnightly
52,Male,Footwear,73,Oklahoma,Winter,4.9,15,Bi-Weekly
67,Male,Accessories,42,Indiana,Winter,3.5,4,Bi-Weekly
43,Male,Accessories,20,Maryland,Spring,4.2,25,Annually
58,Male,Accessories,30,South Dakota,Spring,4.7,20,Every 3 Months
20,Male,Accessories,53,West Virginia,Summer,4.5,5,Quarterly
61,Male,Accessories,74,Alabama,Spring,2.8,16,Quarterly
32,Male,Clothing,57,Louisiana,Fall,2.9,13,Annually
38,Male,Accessories,57,Montana,Winter,3.2,11,Every 3 Months
21,Male,Clothing,77,California,Winter,4.9,21,Annually
37,Male,Clothing,40,Hawaii,Summer,3.7,6,Annually
27,Male,Clothing,46,Iowa,Summer,4.3,29,Monthly
36,Male,Clothing,78,Colorado,Fall,3.9,15,Annually
32,Male,Accessories,59,Michigan,Spring,3.2,17,Bi-Weekly
51,Male,Accessories,75,Louisiana,Summer,3.1,32,Weekly
64,Male,Clothing,54,Maryland,Spring,3.9,42,Annually
68,Male,Footwear,42,Georgia,Spring,2.6,21,Monthly
68,Male,Clothing,44,Georgia,Winter,3.3,9,Bi-Weekly
33,Male,Clothing,52,North Dakota,Fall,4.6,16,Annually
65,Male,Accessories,69,Maryland,Summer,4.6,42,Fortnightly
48,Male,Accessories,26,Oregon,Summer,4.4,37,Bi-Weekly
69,Male,Outerwear,33,North Dakota,Spring,4.2,32,Quarterly
59,Male,Accessories,32,Maryland,Spring,3.0,28,Bi-Weekly
48,Male,Accessories,85,Virginia,Winter,4.0,13,Weekly
25,Male,Clothing,30,South Dakota,Fall,3.5,11,Fortnightly
29,Male,Clothing,29,Georgia,Winter,3.0,36,Bi-Weekly
57,Male,Clothing,95,Hawaii,Spring,3.7,23,Annually
23,Male,Footwear,69,Arkansas,Summer,4.0,37,Monthly
45,Male,Footwear,69,Montana,Fall,4.2,21,Bi-Weekly
38,Male,Accessories,61,Oklahoma,Spring,2.5,22,Bi-Weekly
21,Male,Clothing,94,Minnesota,Summer,3.0,9,Monthly
32,Male,Clothing,30,Montana,Fall,3.2,16,Annually
63,Male,Clothing,45,Ohio,Summer,3.5,4,Quarterly
29,Male,Accessories,39,Kentucky,Summer,4.8,3,Bi-Weekly
27,Male,Accessories,51,Nebraska,Summer,2.6,6,Annually
56,Male,Accessories,37,Delaware,Spring,3.4,18,Fortnightly
30,Male,Clothing,62,North Carolina,Winter,3.7,34,Bi-Weekly
49,Male,Outerwear,85,New York,Fall,4.5,26,Monthly
58,Male,Clothing,33,Colorado,Winter,3.7,50,Weekly
57,Male,Clothing,26,Delaware,Fall,3.3,40,Monthly
60,Male,Footwear,99,Utah,Spring,4.7,24,Quarterly
69,Male,Accessories,39,Connecticut,Spring,2.7,33,Annually
70,Male,Clothing,20,New Jersey,Spring,4.6,19,Every 3 Months
53,Male,Accessories,42,West Virginia,Winter,2.7,24,Quarterly
25,Male,Footwear,74,Indiana,Spring,4.8,19,Weekly
48,Male,Footwear,26,Delaware,Summer,4.4,4,Bi-Weekly
69,Male,Clothing,53,Maryland,Winter,4.0,11,Every 3 Months
25,Male,Footwear,80,Pennsylvania,Summer,3.2,28,Fortnightly
29,Male,Accessories,98,Iowa,Spring,4.4,24,Weekly
46,Male,Clothing,95,Pennsylvania,Spring,3.8,25,Every 3 Months
37,Male,Clothing,44,Delaware,Summer,3.6,27,Every 3 Months
20,Male,Footwear,60,Oregon,Summer,3.3,49,Weekly
40,Male,Clothing,84,Oregon,Winter,3.4,45,Bi-Weekly
60,Male,Clothing,59,Utah,Fall,3.5,26,Annually
26,Male,Outerwear,49,North Dakota,Summer,3.6,4,Annually
29,Male,Accessories,32,Florida,Winter,3.2,3,Every 3 Months
66,Male,Accessories,29,Maryland,Fall,3.7,45,Bi-Weekly
66,Male,Clothing,22,Minnesota,Spring,4.5,21,Fortnightly
56,Male,Clothing,85,Montana,Winter,4.6,50,Fortnightly
69,Male,Clothing,52,Rhode Island,Winter,4.1,19,Monthly
38,Male,Clothing,89,Massachusetts,Spring,3.4,6,Annually
42,Male,Clothing,77,Vermont,Spring,3.7,50,Every 3 Months
30,Male,Clothing,24,New Jersey,Summer,3.3,17,Every 3 Months
66,Male,Accessories,24,Wisconsin,Spring,4.5,24,Annually
36,Male,Accessories,22,California,Fall,3.3,46,Monthly
58,Male,Clothing,82,West Virginia,Fall,4.3,42,Every 3 Months
45,Male,Accessories,67,South Dakota,Winter,2.5,10,Annually
47,Male,Clothing,74,Maine,Spring,2.6,1,Every 3 Months
66,Male,Accessories,72,Kansas,Summer,4.9,28,Quarterly
41,Male,Footwear,36,Vermont,Summer,4.7,48,Quarterly
41,Male,Accessories,95,Tennessee,Winter,3.0,47,Monthly
66,Male,Clothing,78,Tennessee,Winter,3.5,29,Bi-Weekly
37,Male,Clothing,82,Wyoming,Summer,4.8,37,Quarterly
70,Male,Clothing,70,Vermont,Winter,4.3,38,Annually
62,Male,Accessories,41,New Jersey,Fall,3.2,48,Weekly
61,Male,Outerwear,42,Iowa,Summer,3.1,36,Weekly
48,Male,Outerwear,50,Florida,Fall,2.8,9,Weekly
70,Male,Clothing,31,Nevada,Summer,2.9,34,Monthly
46,Male,Clothing,51,North Dakota,Winter,3.7,43,Bi-Weekly
31,Male,Clothing,98,Florida,Fall,3.3,46,Quarterly
19,Male,Clothing,86,New York,Winter,2.8,5,Monthly
39,Male,Clothing,64,Alaska,Winter,4.5,15,Bi-Weekly
41,Male,Clothing,46,Kansas,Fall,2.6,30,Annually
20,Male,Clothing,85,Oregon,Spring,3.7,44,Every 3 Months
36,Male,Accessories,81,Rhode Island,Fall,4.4,16,Annually
32,Male,Clothing,59,New Mexico,Winter,4.3,16,Annually
69,Male,Clothing,79,Massachusetts,Winter,3.5,16,Weekly
40,Male,Clothing,33,Pennsylvania,Spring,3.8,21,Every 3 Months
40,Male,Clothing,47,New Jersey,Summer,3.5,39,Every 3 Months
20,Male,Accessories,20,Utah,Summer,4.6,40,Bi-Weekly
64,Male,Outerwear,36,Kentucky,Spring,2.6,48,Every 3 Months
27,Male,Footwear,39,Nebraska,Summer,4.4,26,Monthly
24,Male,Clothing,71,Virginia,Winter,4.0,46,Monthly
48,Male,Footwear,59,Wyoming,Winter,4.4,27,Annually
49,Male,Clothing,50,New Mexico,Spring,4.7,5,Weekly
36,Male,Footwear,41,Oregon,Fall,3.9,43,Fortnightly
56,Male,Clothing,59,South Carolina,Fall,2.7,17,Fortnightly
37,Male,Accessories,87,Arizona,Winter,3.7,3,Bi-Weekly
42,Male,Clothing,68,Kentucky,Spring,2.6,47,Fortnightly
28,Male,Clothing,90,New York,Winter,3.9,24,Bi-Weekly
27,Male,Clothing,71,Texas,Fall,4.9,12,Every 3 Months
63,Male,Footwear,64,Missouri,Fall,4.1,35,Monthly
58,Male,Accessories,76,Pennsylvania,Fall,3.0,42,Weekly
37,Male,Accessories,42,Oregon,Fall,4.1,1,Every 3 Months
56,Male,Clothing,80,Nevada,Spring,3.8,27,Weekly
18,Male,Accessories,56,Arkansas,Spring,4.0,16,Bi-Weekly
48,Male,Accessories,25,Minnesota,Summer,3.6,36,Every 3 Months
31,Male,Footwear,74,Georgia,Winter,3.0,30,Every 3 Months
51,Male,Clothing,30,Rhode Island,Summer,3.0,18,Fortnightly
65,Male,Clothing,96,Nevada,Spring,2.6,45,Annually
53,Male,Footwear,64,Texas,Fall,3.4,1,Fortnightly
55,Male,Clothing,88,Florida,Winter,3.1,42,Fortnightly
62,Male,Footwear,88,North Dakota,Summer,3.0,7,Every 3 Months
55,Male,Accessories,88,West Virginia,Summer,3.7,50,Quarterly
64,Male,Clothing,36,Nebraska,Spring,3.5,37,Fortnightly
52,Male,Clothing,40,Tennessee,Spring,2.8,18,Monthly
24,Male,Accessories,39,Oklahoma,Spring,4.5,29,Monthly
38,Male,Accessories,40,Wisconsin,Summer,3.3,45,Quarterly
59,Male,Accessories,34,Oregon,Winter,3.4,13,Weekly
27,Male,Footwear,83,North Carolina,Winter,3.2,47,Monthly
24,Male,Clothing,85,Pennsylvania,Summer,3.7,7,Weekly
23,Male,Outerwear,27,North Dakota,Summer,4.6,11,Bi-Weekly
69,Male,Accessories,78,Ohio,Spring,5.0,39,Monthly
59,Male,Accessories,32,Oklahoma,Summer,4.4,6,Quarterly
51,Male,Footwear,51,South Carolina,Fall,4.9,2,Bi-Weekly
63,Male,Accessories,32,Maine,Spring,4.1,39,Every 3 Months
54,Male,Clothing,62,Nevada,Winter,4.9,23,Monthly
32,Male,Clothing,29,Montana,Fall,4.7,46,Bi-Weekly
39,Male,Accessories,69,New Hampshire,Fall,3.0,19,Weekly
66,Male,Accessories,25,Maine,Winter,3.4,3,Every 3 Months
28,Male,Clothing,76,California,Winter,3.2,47,Quarterly
50,Male,Accessories,77,West Virginia,Fall,2.9,6,Quarterly
70,Male,Clothing,33,California,Fall,4.5,6,Annually
67,Male,Clothing,93,West Virginia,Fall,2.7,12,Bi-Weekly
64,Male,Accessories,39,Louisiana,Spring,3.4,40,Quarterly
45,Male,Outerwear,93,Georgia,Summer,4.6,38,Fortnightly
22,Male,Accessories,82,Washington,Summer,2.7,10,Quarterly
27,Male,Footwear,42,Virginia,Spring,4.2,28,Monthly
25,Male,Accessories,71,Indiana,Winter,3.2,19,Annually
37,Male,Clothing,86,Minnesota,Spring,4.8,25,Fortnightly
26,Male,Clothing,82,Idaho,Spring,3.3,38,Annually
33,Male,Footwear,65,Vermont,Fall,4.2,6,Fortnightly
43,Male,Accessories,29,North Dakota,Spring,4.8,7,Bi-Weekly
37,Male,Footwear,65,Rhode Island,Winter,4.9,2,Annually
46,Male,Clothing,88,South Carolina,Fall,3.9,24,Annually
22,Male,Accessories,46,Mississippi,Fall,3.0,26,Annually
20,Male,Footwear,67,Montana,Winter,4.6,25,Every 3 Months
60,Male,Accessories,35,Idaho,Fall,3.5,10,Monthly
39,Male,Footwear,66,Utah,Winter,4.8,14,Fortnightly
43,Male,Clothing,91,Oklahoma,Fall,4.8,21,Quarterly
31,Male,Accessories,78,California,Fall,3.0,26,Monthly
19,Male,Footwear,45,Nevada,Winter,4.5,12,Annually
35,Male,Clothing,93,Delaware,Spring,4.8,11,Monthly
41,Male,Clothing,74,South Carolina,Summer,3.8,15,Annually
52,Male,Accessories,55,Maryland,Spring,4.6,13,Monthly
45,Male,Clothing,76,North Carolina,Spring,3.1,5,Bi-Weekly
34,Male,Footwear,66,Alabama,Spring,3.4,36,Fortnightly
35,Male,Clothing,51,Minnesota,Winter,3.3,32,Monthly
29,Male,Clothing,26,Virginia,Spring,4.8,1,Quarterly
59,Male,Clothing,29,Michigan,Summer,2.8,15,Annually
24,Male,Outerwear,74,Maine,Summer,3.1,3,Weekly
